Change Component Comment : Designator=D1 Old Comment=1N5817WS New Comment=B5817WS
Change Component Comment : Designator=C9 Old Comment=EMK107BBJ106MA-T New Comment=CL10A106KP8NNNC
Change Component Comment : Designator=C11 Old Comment=EMK107BBJ106MA-T New Comment=CL10A106KP8NNNC
Change Component Comment : Designator=R8 Old Comment=ERJ6RBD1202V New Comment=0805W8F1202T5E
Change Component Comment : Designator=R9 Old Comment=ERJ6RBD1202V New Comment=0805W8F1202T5E
Change Component Comment : Designator=R10 Old Comment=ERJPB6D1002V New Comment=0805W8F1002T5E
Change Component Comment : Designator=R11 Old Comment=ERJPB6D1002V New Comment=0805W8F1002T5E
Change Component Comment : Designator=R12 Old Comment=ERJPB6D1002V New Comment=0805W8F1002T5E
Change Component Comment : Designator=R13 Old Comment=ERJPB6D1002V New Comment=0805W8F1002T5E
Change Component Comment : Designator=C7 Old Comment=F931A107KBAAHA New Comment=T491B107M010AT
Change Component Comment : Designator=IC1 Old Comment=LM1117DTX-3.3/NOPB New Comment=LD1117ADT33TR
Change Component Comment : Designator=Q1 Old Comment=MMBT3906-7-F New Comment=MMBT3906LT1G
Change Component Comment : Designator=R7 Old Comment=RC0805FR-07470RL New Comment=0805W8F4700T5E
Change Component Comment : Designator=R6 Old Comment=SWR05JTFV1000 New Comment=TC0525D1000T5E
