"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"DS2","Display_7Seg_4''","4114.174mil","2861.22mil","4114.173mil","2861.22mil","3714.174mil","754.92mil","T","0.00","DISPLAY 7PULG AC"
"MDB1","IDC5X2","1922.52mil","194.33mil","1922.52mil","194.33mil","2122.52mil","244.33mil","T","270.00","IDC5X2"
"REG2","MIC29302AWD","2633.268mil","4838.09mil","2633.268mil","4665.354mil","2533.268mil","4704.724mil","T","360.00","SIM29302"
"REG1","MIC29302BU","2631.162mil","4760.498mil","2427.166mil","5108.697mil","2497.146mil","4559.484mil","T","360.00","SIM29302"
"BT1","KR-5R5C334-R","602.52mil","3494.33mil","602.52mil","3494.33mil","504.094mil","3494.33mil","T","0.00","3V"
"R40","RES1206-3216","2662.52mil","1254.33mil","2662.52mil","1254.33mil","2662.52mil","1187.401mil","B","90.00","100K"
"XBEE1","IDC5X2","2342.52mil","5494.33mil","2342.52mil","5494.33mil","2142.52mil","5444.33mil","T","90.00","IDC5X2"
"R31","RES1206-3216","2962.52mil","1254.33mil","2962.52mil","1254.33mil","2962.52mil","1187.401mil","B","90.00","100K"
"P3","HDR1X3","2882.52mil","5514.33mil","2882.52mil","5414.33mil","2882.52mil","5414.33mil","T","90.00","Header 3"
"Q4","SOT95P240-3RM","3721.102mil","4379.686mil","3721.103mil","4379.684mil","3674.842mil","4379.686mil","B","180.00","2N3904"
"C13","CAP0603,1608","2022.52mil","4914.33mil","2022.52mil","4914.33mil","2022.52mil","4880.275mil","B","90.00","100nF"
"C12","CAP0603,1608","2122.521mil","4914.33mil","2122.521mil","4914.33mil","2122.521mil","4880.275mil","B","90.00","100nF"
"C11","CAP0603,1608","2222.521mil","4914.33mil","2222.521mil","4914.33mil","2222.521mil","4880.275mil","B","90.00","100nF"
"C10","C100UF","3772.52mil","1434.33mil","3722.52mil","1434.33mil","3722.52mil","1434.33mil","T","0.00","10uF 25v"
"C9","CAP0603,1608","1922.519mil","4694.33mil","1922.519mil","4694.33mil","1922.519mil","4728.385mil","B","270.00","100nF"
"C8","CAP0603,1608","2022.519mil","4694.33mil","2022.519mil","4694.33mil","2022.519mil","4728.385mil","B","270.00","100nF"
"C7","CAP0603,1608","2122.519mil","4694.33mil","2122.519mil","4694.33mil","2122.519mil","4728.385mil","B","270.00","100nF"
"C6","CAP0603,1608","2222.52mil","4694.33mil","2222.52mil","4694.33mil","2222.52mil","4728.385mil","B","270.00","100nF"
"C5","CAP0603,1608","2518.347mil","4294.999mil","2518.347mil","4294.999mil","2518.347mil","4329.054mil","B","270.00","100nF"
"C4","CAP0603,1608","2598.347mil","4294.999mil","2598.347mil","4294.999mil","2598.347mil","4329.054mil","B","270.00","100nF"
"C3","CAP0603,1608","2678.347mil","4294.999mil","2678.347mil","4294.999mil","2678.347mil","4329.054mil","B","270.00","100nF"
"C2","CAP0603,1608","2758.347mil","4294.999mil","2758.347mil","4294.999mil","2758.347mil","4329.054mil","B","270.00","100nF"
"C1","C100UF","432.52mil","1434.328mil","482.52mil","1434.33mil","482.52mil","1434.328mil","T","180.00","10uF 25v"
"Q5","SOT95P240-3RM","3282.52mil","5254.33mil","3282.52mil","5254.33mil","3282.52mil","5300.59mil","B","90.00","2N3906"
"R53","RES1206-3216","3191.693mil","4513.582mil","3191.693mil","4513.582mil","3124.764mil","4513.582mil","B","360.00","100K"
"R52","RES1206-3216","3191.693mil","4393.582mil","3191.693mil","4393.582mil","3124.764mil","4393.582mil","B","360.00","1k"
"R51","RES1206-3216","3191.693mil","4273.582mil","3191.693mil","4273.582mil","3258.622mil","4273.582mil","B","180.00","100K"
"R50","RES1206-3216","3191.693mil","4873.582mil","3191.693mil","4873.582mil","3124.764mil","4873.582mil","B","360.00","1R"
"R49","RES1206-3216","3191.693mil","4753.582mil","3191.693mil","4753.582mil","3258.622mil","4753.582mil","B","180.00","33K"
"R48","RES1206-3216","3191.693mil","4633.582mil","3191.693mil","4633.582mil","3124.764mil","4633.582mil","B","360.00","100K"
"Q6","SOT95P240-3RM","2942.52mil","4354.33mil","2942.52mil","4354.33mil","2896.26mil","4354.33mil","B","180.00","2N3906"
"C36","C0603C104K5RACTU","4202.52mil","4054.33mil","4202.52mil","4054.33mil","4202.52mil","4020.274mil","B","90.00","100nF"
"C35","C100UF","4252.52mil","4234.33mil","4302.52mil","4234.33mil","4302.52mil","4234.33mil","T","180.00","100uF 25v"
"C34","C100UF","4072.52mil","1434.33mil","4022.52mil","1434.33mil","4022.52mil","1434.33mil","T","0.00","100uF 25v"
