Comment,Designator,Footprint,LCSC PArt
""
0805W8F1002T5E,"R110, R111, R112, R113, R210, R211, R212, R213, R310, R311, R312, R313, R410, R411, R412, R413, R510, R511, R512, R513, R610, R611, R612, R613, R710, R711, R712, R713, R810, R811, R812, R813, R910, R911, R912, R913, R1010, R1011, R1012, R1013, R1110, R1111, R1112, R1113, R1210, R1211, R1212, R1213",RES-0805,C17414
0805W8F1202T5E,"R108, R109, R208, R209, R308, R309, R408, R409, R508, R509, R608, R609, R708, R709, R808, R809, R908, R909, R1008, R1009, R1108, R1109, R1208, R1209",RES-0805,C17444
0805W8F4700T5E,"R107, R207, R307, R407, R507, R607, R707, R807, R907, R1007, R1107, R1207",RES-0805,C17710
TC0525D1000T5E,"R106, R206, R306, R406, R506, R606, R706, R806, R906, R1006, R1106, R1206",RES-0805,C44786
Z-231011010106,"P102, P202, P302, P402, P502, P602, P702, P802, P902, P1002, P1102, P1202",IDC5X2,C221045
LD1117ADT33TR,"IC101, IC201, IC301, IC401, IC501, IC601, IC701, IC801, IC901, IC1001, IC1101, IC1201",TO252,C157401
2N7002A-7,"Q104, Q105, Q204, Q205, Q304, Q305, Q404, Q405, Q504, Q505, Q604, Q605, Q704, Q705, Q804, Q805, Q904, Q905, Q1004, Q1005, Q1104, Q1105, Q1204, Q1205",SuperSOT-3,C139446
CL10B104KC8NNNC,"C101, C102, C103, C104, C105, C108, C110, C201, C202, C203, C204, C205, C208, C210, C301, C302, C303, C304, C305, C308, C310, C401, C402, C403, C404, C405, C408, C410, C501, C502, C503, C504, C505, C508, C510, C601, C602, C603, C604, C605, C608, C610, C701, C702, C703, C704, C705, C708, C710, C801, C802, C803, C804, C805, C808, C810, C901, C902, C903, C904, C905, C908, C910, C1001, C1002, C1003, C1004, C1005, C1008, C1010, C1101, C1102, C1103, C1104, C1105, C1108, C1110, C1201, C1202, C1203, C1204, C1205, C1208, C1210",C0603C104K5RACTU,C15725
CL10A106KP8NNNC,"C109, C111, C209, C211, C309, C311, C409, C411, C509, C511, C609, C611, C709, C711, C809, C811, C909, C911, C1009, C1011, C1109, C1111, C1209, C1211",C0603C104K5RACTU,C19702
KF103-5.0-2P,"LS101, LS201, LS301, LS401, LS501, LS601, LS701, LS801, LS901, LS1001, LS1101, LS1201",VERDE 2pin,C475088
ERJ6RBD1202V,"R101, R102, R103, R104, R105, R201, R202, R203, R204, R205, R301, R302, R303, R304, R305, R401, R402, R403, R404, R405, R501, R502, R503, R504, R505, R601, R602, R603, R604, R605, R701, R702, R703, R704, R705, R801, R802, R803, R804, R805, R901, R902, R903, R904, R905, R1001, R1002, R1003, R1004, R1005, R1101, R1102, R1103, R1104, R1105, R1201, R1202, R1203, R1204, R1205",RES-0805,C336850
3362P-1-502LF,"VR101, VR201, VR301, VR401, VR501, VR601, VR701, VR801, VR901, VR1001, VR1101, VR1201",POT LIN VR1,C81260
SS32,"D102, D202, D302, D402, D502, D602, D702, D802, D902, D1002, D1102, D1202",DO-214AC),C34897
B5817WS,"D101, D201, D301, D401, D501, D601, D701, D801, D901, D1001, D1101, D1201",Diode S4,C122854
T491B107M010AT,"C107, C207, C307, C407, C507, C607, C707, C807, C907, C1007, C1107, C1207",TAJB107M006RNJ,C90975
T491A106K010AT2478,"C106, C206, C306, C406, C506, C606, C706, C806, C906, C1006, C1106, C1206",3216 Case-A,C110052
MMBT3906LT1G,"Q101, Q201, Q301, Q401, Q501, Q601, Q701, Q801, Q901, Q1001, Q1101, Q1201",SOT-23-TT3_N,C53444
MMBT3904LT3G,"Q102, Q103, Q202, Q203, Q302, Q303, Q402, Q403, Q502, Q503, Q602, Q603, Q702, Q703, Q802, Q803, Q902, Q903, Q1002, Q1003, Q1102, Q1103, Q1202, Q1203",SOT-23-TT3_N,C150052
C10418,"P101, P201, P301, P401, P501, P601, P701, P801, P901, P1001, P1101, P1201",USB_MICRO_B_AT,C10418
CP2102-GMR,"U102, U202, U302, U402, U502, U602, U702, U802, U902, U1002, U1102, U1202",QFN50P500X500X100-29N,C6568
ESP-12F(ESP8266MOD),"U101, U201, U301, U401, U501, U601, U701, U801, U901, U1001, U1101, U1201",ESP-12E&F Module,C82891
