Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
DS102,Display_7Seg_4'',4114.174mil,3373.031mil,4114.173mil,3373.031mil,3714.174mil,1266.731mil,T,0.00,DISPLAY 7PULG AC
DS202,Display_7Seg_4'',8917.324mil,3373.031mil,8917.323mil,3373.031mil,8517.324mil,1266.731mil,T,0.00,DISPLAY 7PULG AC
DS302,Display_7Seg_4'',4114.174mil,9199.803mil,4114.173mil,9199.803mil,3714.174mil,7093.503mil,T,0.00,DISPLAY 7PULG AC
DS402,Display_7Seg_4'',8917.324mil,9199.803mil,8917.323mil,9199.803mil,8517.324mil,7093.503mil,T,0.00,DISPLAY 7PULG AC
MDB101,IDC5X2,1922.520mil,706.141mil,1922.520mil,706.141mil,2122.520mil,756.141mil,T,270.00,Z-231011010106
MDB201,IDC5X2,6725.670mil,706.141mil,6725.670mil,706.141mil,6925.670mil,756.141mil,T,270.00,Z-231011010106
MDB301,IDC5X2,1922.520mil,6532.913mil,1922.520mil,6532.913mil,2122.520mil,6582.913mil,T,270.00,Z-231011010106
MDB401,IDC5X2,6725.670mil,6532.913mil,6725.670mil,6532.913mil,6925.670mil,6582.913mil,T,270.00,Z-231011010106
REG102,MIC29302AWD,2633.268mil,5349.901mil,2633.268mil,5177.165mil,2533.268mil,5216.535mil,T,360.00,SIM29302
REG202,MIC29302AWD,7436.418mil,5349.901mil,7436.418mil,5177.165mil,7336.418mil,5216.535mil,T,360.00,SIM29302
REG302,MIC29302AWD,2633.268mil,11176.673mil,2633.268mil,11003.937mil,2533.268mil,11043.307mil,T,360.00,SIM29302
REG402,MIC29302AWD,7436.418mil,11176.673mil,7436.418mil,11003.937mil,7336.418mil,11043.307mil,T,360.00,SIM29302
REG101,MIC29302BU,2631.162mil,5272.309mil,2427.166mil,5620.508mil,2497.146mil,5071.295mil,T,360.00,MIC29302WU-TR
REG201,MIC29302BU,7434.312mil,5272.309mil,7230.316mil,5620.508mil,7300.296mil,5071.295mil,T,360.00,MIC29302WU-TR
REG301,MIC29302BU,2631.162mil,11099.081mil,2427.166mil,11447.280mil,2497.146mil,10898.067mil,T,360.00,MIC29302WU-TR
REG401,MIC29302BU,7434.312mil,11099.081mil,7230.316mil,11447.280mil,7300.296mil,10898.067mil,T,360.00,MIC29302WU-TR
BT101,KR-5R5C334-R,602.520mil,4006.141mil,602.520mil,4006.141mil,504.094mil,4006.141mil,T,0.00,3V
BT201,KR-5R5C334-R,5405.670mil,4006.141mil,5405.670mil,4006.141mil,5307.244mil,4006.141mil,T,0.00,3V
BT301,KR-5R5C334-R,602.520mil,9832.913mil,602.520mil,9832.913mil,504.094mil,9832.913mil,T,0.00,3V
BT401,KR-5R5C334-R,5405.670mil,9832.913mil,5405.670mil,9832.913mil,5307.244mil,9832.913mil,T,0.00,3V
R140,RES1206-3216,2662.520mil,1766.141mil,2662.520mil,1766.141mil,2662.520mil,1699.212mil,B,90.00,100K
R240,RES1206-3216,7465.670mil,1766.141mil,7465.670mil,1766.141mil,7465.670mil,1699.212mil,B,90.00,100K
R340,RES1206-3216,2662.520mil,7592.913mil,2662.520mil,7592.913mil,2662.520mil,7525.984mil,B,90.00,100K
R440,RES1206-3216,7465.670mil,7592.913mil,7465.670mil,7592.913mil,7465.670mil,7525.984mil,B,90.00,100K
XBEE101,IDC5X2,2342.520mil,6006.141mil,2342.520mil,6006.141mil,2142.520mil,5956.141mil,T,90.00,IDC5X2
XBEE201,IDC5X2,7145.670mil,6006.141mil,7145.670mil,6006.141mil,6945.670mil,5956.141mil,T,90.00,IDC5X2
XBEE301,IDC5X2,2342.520mil,11832.913mil,2342.520mil,11832.913mil,2142.520mil,11782.913mil,T,90.00,IDC5X2
XBEE401,IDC5X2,7145.670mil,11832.913mil,7145.670mil,11832.913mil,6945.670mil,11782.913mil,T,90.00,IDC5X2
R131,RES1206-3216,2962.520mil,1766.141mil,2962.520mil,1766.141mil,2962.520mil,1699.212mil,B,90.00,100K
R231,RES1206-3216,7765.670mil,1766.141mil,7765.670mil,1766.141mil,7765.670mil,1699.212mil,B,90.00,100K
R331,RES1206-3216,2962.520mil,7592.913mil,2962.520mil,7592.913mil,2962.520mil,7525.984mil,B,90.00,100K
R431,RES1206-3216,7765.670mil,7592.913mil,7765.670mil,7592.913mil,7765.670mil,7525.984mil,B,90.00,100K
P103,HDR1X3,2882.520mil,6026.141mil,2882.520mil,5926.141mil,2882.520mil,5926.141mil,T,90.00,Header 3
P203,HDR1X3,7685.670mil,6026.141mil,7685.670mil,5926.141mil,7685.670mil,5926.141mil,T,90.00,Header 3
P303,HDR1X3,2882.520mil,11852.913mil,2882.520mil,11752.913mil,2882.520mil,11752.913mil,T,90.00,Header 3
P403,HDR1X3,7685.670mil,11852.913mil,7685.670mil,11752.913mil,7685.670mil,11752.913mil,T,90.00,Header 3
Q104,SOT95P240-3RM,3721.102mil,4891.497mil,3721.103mil,4891.495mil,3674.842mil,4891.497mil,B,0.00,2N3904
