Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C111,C0603C104K5RACTU,1382.362mil,1491.221mil,1382.362mil,1491.221mil,1416.418mil,1491.221mil,T,180,EMK107BBJ106MA-T
C211,C0603C104K5RACTU,3468.976mil,1491.221mil,3468.976mil,1491.221mil,3503.032mil,1491.221mil,T,180,EMK107BBJ106MA-T
C311,C0603C104K5RACTU,5555.590mil,1491.221mil,5555.590mil,1491.221mil,5589.646mil,1491.221mil,T,180,EMK107BBJ106MA-T
C411,C0603C104K5RACTU,7642.205mil,1491.221mil,7642.205mil,1491.221mil,7676.261mil,1491.221mil,T,180,EMK107BBJ106MA-T
C511,C0603C104K5RACTU,1382.362mil,4050.276mil,1382.362mil,4050.276mil,1416.418mil,4050.276mil,T,180,EMK107BBJ106MA-T
C611,C0603C104K5RACTU,3468.976mil,4050.276mil,3468.976mil,4050.276mil,3503.032mil,4050.276mil,T,180,EMK107BBJ106MA-T
C711,C0603C104K5RACTU,5555.590mil,4050.276mil,5555.590mil,4050.276mil,5589.646mil,4050.276mil,T,180,EMK107BBJ106MA-T
C811,C0603C104K5RACTU,7642.205mil,4050.276mil,7642.205mil,4050.276mil,7676.261mil,4050.276mil,T,180,EMK107BBJ106MA-T
C911,C0603C104K5RACTU,1382.362mil,6609.331mil,1382.362mil,6609.331mil,1416.418mil,6609.331mil,T,180,EMK107BBJ106MA-T
C1011,C0603C104K5RACTU,3468.976mil,6609.331mil,3468.976mil,6609.331mil,3503.032mil,6609.331mil,T,180,EMK107BBJ106MA-T
C1111,C0603C104K5RACTU,5555.590mil,6609.331mil,5555.590mil,6609.331mil,5589.646mil,6609.331mil,T,180,EMK107BBJ106MA-T
C1211,C0603C104K5RACTU,7642.205mil,6609.331mil,7642.205mil,6609.331mil,7676.261mil,6609.331mil,T,180,EMK107BBJ106MA-T
C110,C0603C104K5RACTU,1382.362mil,1427.393mil,1382.362mil,1427.393mil,1416.418mil,1427.393mil,T,180,CL10B104KC8NNNC
C210,C0603C104K5RACTU,3468.976mil,1427.393mil,3468.976mil,1427.393mil,3503.032mil,1427.393mil,T,180,CL10B104KC8NNNC
C310,C0603C104K5RACTU,5555.590mil,1427.393mil,5555.590mil,1427.393mil,5589.646mil,1427.393mil,T,180,CL10B104KC8NNNC
C410,C0603C104K5RACTU,7642.205mil,1427.393mil,7642.205mil,1427.393mil,7676.261mil,1427.393mil,T,180,CL10B104KC8NNNC
C510,C0603C104K5RACTU,1382.362mil,3986.448mil,1382.362mil,3986.448mil,1416.418mil,3986.448mil,T,180,CL10B104KC8NNNC
C610,C0603C104K5RACTU,3468.976mil,3986.448mil,3468.976mil,3986.448mil,3503.032mil,3986.448mil,T,180,CL10B104KC8NNNC
C710,C0603C104K5RACTU,5555.590mil,3986.448mil,5555.590mil,3986.448mil,5589.646mil,3986.448mil,T,180,CL10B104KC8NNNC
C810,C0603C104K5RACTU,7642.205mil,3986.448mil,7642.205mil,3986.448mil,7676.261mil,3986.448mil,T,180,CL10B104KC8NNNC
C910,C0603C104K5RACTU,1382.362mil,6545.503mil,1382.362mil,6545.503mil,1416.418mil,6545.503mil,T,180,CL10B104KC8NNNC
