Comment,Designator,Footprint,LCSC Part

"C44593","C1, C10","C100UF","C44593"
"CL10B104KC8NNNC","C2, C3, C4, C5, C6, C7, C8, C9, C11, C12, C13, C14, C15, C16, C17, C18, C26, C27, C28, C29, C30, C31, C33","CAP0603,1608","C15725"
"CL10C150JB8NNNC","C19, C20, C21, C22, C23, C24","CAP0603,1608","C1644"
"C44593","C25, C32, C34, C35","C100UF","C44593"
"CL10B104KC8NNNC","C36","C0603C104K5RACTU","C15725"
"RL207","D1, D2, D3, D4, D5","DIODE-0.3_GENARO","C402278"
"Z-231011010106","MDA1, MDB1, MDC1, MDD1, XBEE1","IDC5X2","C221045"
"KF103-5.0-2P","P4","AZUL5-4","C475088"
"KF103-5.0-2P","P5","AZUL5-2","C475088"
"3362P-1-502LF","PT1","POT LIN VR1","C81260"
"MMBT3906LT1G","Q1, Q2, Q5, Q6","SOT95P240-3RM","C53444"
"MMBT3904LT3G","Q3, Q4","SOT95P240-3RM","C150052"
"1206W4F1002T5E","R1, R2, R23, R24","RES1206-3216","C17902"
"1206W4F1001T5","R3, R4, R7, R9, R11, R13, R15, R17, R19, R21, R52","RES1206-3216","C4410"
"1206W4J0471T5E","R5, R6","RES1206-3216","C25383"
"1206W4F1000T5E","R8, R10, R12, R14, R16, R18, R20, R22, R32","RES1206-3216","C17901"
"1206W4F1003T5E","R25, R26, R27, R28, R29, R30, R31, R33, R34, R35, R36, R40, R42, R43, R44, R48, R51, R53","RES1206-3216","C17900"
"1206W4F4701T5E","R37, R39, R41","RES1206-3216","C17936"
"1206W4F1003T5E","R38","CRCW1206100KJNEA","C17900"
"1206W4F100KT5E","R45, R46, R47, R50","RES1206-3216","C17928"
"1206W4F3302T5E","R49","RES1206-3216","C18004"
"MIC29302WU-TR","REG1","MIC29302BU","C11149"
"ULN2803ADWR","U1","SOIC-SO18_M","C9683"
"PIC16F886-I/SS","U2","SSOP-SS28_N","C38185"
"PIC18F4520-I/PT","U5","TQFP-PT44_M","C9734"
"X49SD20MSD2SC","Y1","CRYSTAL","C16370"
