DesignatorBase,Offset X,Offset Y
100, 0mil, 511.81102362204723mil
200, 2086.6141732283463mil, 511.81102362204723mil
300, 4173.228346456693mil, 511.81102362204723mil
400, 6259.842519685039mil, 511.81102362204723mil
500, 0mil, 3070.8661417322833mil
600, 2086.6141732283463mil, 3070.8661417322833mil
700, 4173.228346456693mil, 3070.8661417322833mil
800, 6259.842519685039mil, 3070.8661417322833mil
900, 0mil, 5629.921259842519mil
1000, 2086.6141732283463mil, 5629.921259842519mil
1100, 4173.228346456693mil, 5629.921259842519mil
1200, 6259.842519685039mil, 5629.921259842519mil
